Name,Walk Score,Transit Score,Bike Score,Population
Little Italy,100,100,94,"3,749"
NoLita,100,100,94,"6,464"
Bowery,100,100,96,"16,702"
Union Square,100,100,92,"7,810"
Flatiron District,100,100,91,"4,579"
Chinatown,100,100,94,"13,724"
NoHo,100,100,95,"3,123"
Gramercy Park,100,100,94,"18,635"
Greenwich Village,100,100,95,"34,531"
Financial District,100,100,85,"27,033"
West Village,100,100,95,"34,359"
SoHo,99,100,95,"11,276"
Civic Center,99,100,90,"5,279"
NoMad,99,100,89,"8,137"
Koreatown,99,100,86,"1,910"
Tribeca,99,100,90,"17,068"
Midtown East,99,100,78,"49,976"
Kips Bay,99,100,89,"39,246"
Chelsea,99,100,95,"52,598"
Murray Hill,99,100,81,"22,249"
Theater District,99,100,88,"13,170"
Upper East Side,99,100,81,"208,013"
Hell's Kitchen,99,100,91,"51,840"
Brooklyn Heights,98,100,85,"20,560"
DUMBO,98,100,86,"3,006"
Two Bridges,98,100,93,"28,930"
Boerum Hill,98,100,95,"22,518"
East Village,98,99,98,"60,375"
Upper West Side,98,100,83,"208,776"
Prospect Heights,98,100,92,"21,765"
Garment District,98,100,88,"5,963"
Park Slope,98,100,89,"61,508"
Clinton Hill,97,99,95,"25,887"
Cobble Hill,97,100,95,"8,605"
Fort Greene,97,100,93,"20,297"
Central Harlem,97,100,75,"111,094"
Battery Park City,97,100,84,"12,258"
Elmhurst,97,100,75,"101,918"
Downtown Brooklyn,97,100,92,"11,077"
Carroll Gardens,97,96,95,"18,514"
West Harlem,97,100,73,"107,403"
Gowanus,96,100,90,"5,661"
Inwood,96,98,68,"38,367"
Williamsburg,96,97,88,"138,526"
East Harlem,96,100,80,"118,829"
Lower East Side,96,98,96,"38,641"
Washington Heights,96,100,72,"158,951"
Greenpoint,96,78,91,"34,569"
Fordham Heights,96,100,60,"49,896"
Stuyvesant Town - Peter Cooper Village,95,100,95,"21,268"
Long Island City,95,94,82,"71,414"
Bushwick,95,98,84,"113,629"
Belmont,95,93,61,"23,890"
Ridgewood,95,92,73,"64,765"
Sunset Park,95,96,74,"100,989"
Parkchester,95,93,57,"40,412"
Marble Hill,95,93,54,"10,180"
Woodside,95,99,69,"55,051"
Brighton Beach,95,86,66,"30,166"
Longwood,94,100,76,"20,337"
Corona,94,88,77,"109,607"
Rego Park,94,98,66,"60,946"
Concourse,94,100,69,"54,406"
Concourse Village,94,100,66,"29,727"
Astoria,94,86,75,"153,924"
Foxhurst,94,100,77,"19,644"
Crown Heights,94,100,85,"125,818"
Bedford-Stuyvesant,94,97,79,"153,040"
East Tremont,94,97,67,"16,991"
Bay Ridge,94,88,74,"79,177"
Jackson Heights,94,91,79,"108,979"
South Bronx,94,99,75,"74,207"
Fordham Manor,94,100,59,"49,585"
Kensington,93,94,85,"49,617"
Vinegar Hill,93,100,92,"4,630"
Greenwood Heights,93,100,73,"18,878"
Flatbush,93,99,79,"167,618"
Kew Gardens,93,99,57,"26,367"
Norwood,93,100,70,"39,735"
Bensonhurst,93,87,58,"77,932"
Mount Hope,93,100,66,"30,381"
Westchester Village,93,88,68,"15,332"
Mount Eden,92,100,62,"24,005"
Forest Hills,92,95,59,"51,010"
Kingsbridge,92,98,57,"50,354"
Richmond Hill,91,87,53,"65,905"
Borough Park,91,89,63,"115,327"
Highbridge,91,99,60,"38,495"
Pelham Parkway,91,91,79,"22,492"
Bedford Park,91,100,71,"26,304"
Woodstock,91,100,71,"19,048"
Windsor Terrace,91,95,81,"14,446"
Red Hook,90,74,96,"10,225"
University Heights,90,100,56,"35,552"
Sheepshead Bay,90,82,65,"121,807"
Van Nest,90,93,74,"13,918"
Mapleton,90,93,59,"26,579"
Unionport,90,86,60,"23,914"
Woodhaven,89,77,53,"36,877"
Dyker Heights,89,86,59,"37,264"
Flushing,89,84,65,"172,447"
Pelham Bay,89,87,76,"24,885"
Bath Beach,89,75,70,"33,061"
Jamaica Hills,89,100,53,"12,700"
West Farms,89,96,68,"29,710"
Morrisania,88,97,70,"51,768"
Utopia,88,70,60,"1,494"
Midwood,88,91,69,"73,615"
Ozone Park,88,83,55,"39,572"
Gravesend,88,94,69,"100,536"
Allerton,88,90,74,"59,555"
Hunts Point,88,91,67,"12,200"
East Elmhurst,87,73,79,"22,443"
Morris Park,87,83,73,"16,410"
Flatlands,87,84,60,"65,242"
Brownsville,87,100,73,"55,788"
Jamaica,87,95,53,"89,810"
Crotona Park East,87,100,73,"29,987"
Cypress Hills,87,87,63,"42,692"
Port Richmond,87,66,52,"15,465"
East Flatbush,86,90,63,"130,788"
Briarwood,86,98,57,"27,884"
Maspeth,85,77,58,"56,058"
Kew Gardens Hills,85,75,70,"35,329"
Glendale,85,71,70,"31,104"
Ocean Hill,85,100,65,"27,565"
Pomonok,85,72,72,"16,458"
Middle Village,85,73,61,"29,125"
Jamaica Estates,84,92,43,"14,139"
East New York,84,93,66,"142,173"
Morris Heights,83,100,61,"40,713"
Marine Park,83,80,63,"21,034"
Williamsbridge,83,88,72,"31,788"
Woodlawn Heights,83,78,49,"7,406"
Wakefield,82,86,62,"54,956"
Port Morris,82,81,78,992
Clason Point,82,84,64,"92,935"
South Ozone Park,81,73,51,"68,783"
St. George,81,76,52,"7,741"
Hillcrest,81,76,65,"17,394"
Fresh Meadows,81,68,61,"16,304"
Floral Park,80,60,60,"12,130"
Pelham Gardens,80,80,65,"14,859"
Auburndale,80,67,54,"31,417"
Tompkinsville,80,72,38,"8,383"
Baychester,80,81,53,"14,525"
Bronx Park,79,95,74,"1,581"
Roosevelt Island,79,98,77,"11,608"
Clearview,78,52,57,"8,031"
Forest Park,78,78,46,"4,374"
Riverdale,78,75,43,"43,830"
Little Neck,77,57,44,"10,216"
Coney Island,77,81,63,"44,763"
Westerleigh,77,60,47,"22,157"
College Point,77,58,46,"26,415"
Randall Manor,77,58,42,"2,036"
Edenwald,76,74,67,"21,096"
Eastchester,76,78,52,"6,715"
Stapleton,76,69,62,"11,469"
West Brighton,76,62,54,"23,986"
Rosebank,76,67,51,"11,111"
Hollis,75,78,50,"38,274"
St. Albans,75,71,52,"42,290"
Canarsie,74,78,56,"82,503"
Bellerose,74,66,58,"22,089"
South Jamaica,74,64,52,"30,821"
Castleton Corners,74,61,46,"3,403"
Bayside,74,63,56,"71,348"
Laurelton,74,63,53,"23,893"
New Dorp,74,68,53,"9,709"
Queens Village,73,74,54,"56,540"
Manhattan Beach,72,72,58,"6,532"
Van Cortlandt Park,72,82,51,524
Grant City,72,71,61,"4,974"
Elm Park,72,61,46,"4,594"
South Beach,71,65,61,"13,647"
Cambria Heights,71,61,53,"16,159"
Whitestone,71,56,48,"30,448"
Rochdale,70,72,49,"24,666"
Castle Hill,70,66,72,"14,730"
Graniteville,70,62,49,"11,295"
Howard Beach,69,67,61,"26,240"
Mill Basin,69,70,57,"11,885"
